,ID,Title
0,MNXRSA,S&P/Case-Shiller MN-Minneapolis Home Price Index
2,MINN427URN,"Unemployment Rate in Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
4,MEHOINUSMNA672N,Real Median Household Income in Minnesota
5,MNNGSP,Total Gross Domestic Product for Minnesota
6,STTMINWGMN,State Minimum Wage Rate for Minnesota
7,MNURN,Unemployment Rate in Minnesota
9,MNPCPI,Per Capita Personal Income in Minnesota
10,MINN427PCPI,"Per Capita Personal Income in Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
11,NGMP33460,"Total Gross Domestic Product for Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
12,MNSTHPI,All-Transactions House Price Index for Minnesota
13,ATNHPIUS33460Q,"All-Transactions House Price Index for Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
14,MSPAGRIDX,"Economic Conditions Index for Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
15,MNPOP,Resident Population in Minnesota
16,MNRVAC,Rental Vacancy Rate for Minnesota
17,MNRGSP,Real Total Gross Domestic Product for Minnesota
18,MNHENN3URN,"Unemployment Rate in Hennepin County, MN"
19,FARG038UR,"Unemployment Rate in Fargo, ND-MN (MSA)"
21,MNHOWN,Homeownership Rate for Minnesota
23,DULU227URN,"Unemployment Rate in Duluth, MN-WI (MSA)"
24,RGMP33460,"Total Real Gross Domestic Product for Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
25,CUUSA211SA0,"Consumer Price Index for All Urban Consumers: All items in Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)"
28,ROCH327URN,"Unemployment Rate in Rochester, MN (MSA)"
30,S1101SPHOUSE027123,"Single-parent Households with Children as a Percentage of Households with Children in Ramsey County, MN"
31,MHIMN27053A052NCEN,"Estimate of Median Household Income for Hennepin County, MN"
32,MNANOK5URN,"Unemployment Rate in Anoka County, MN"
33,MNDAKO5URN,"Unemployment Rate in Dakota County, MN"
36,STCL027URN,"Unemployment Rate in St. Cloud, MN (MSA)"
37,MINN427NA,"All Employees: Total Nonfarm in Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
42,ROCH336URN,"Unemployment Rate in Rochester, NY (MSA)"
43,MNSTLO7URN,"Unemployment Rate in St. Louis County, MN"
46,CUURA211SA0,"Consumer Price Index for All Urban Consumers: All Items in Minneapolis-St. Paul, MN-WI (MSA) (DISCONTINUED)"
47,CUUSA211SEHA,"Consumer Price Index for All Urban Consumers: Rent of primary residence in Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)"
48,MNNA,All Employees: Total Nonfarm in Minnesota
52,ATNHPIUS27053A,"All-Transactions House Price Index for Hennepin County, MN"
53,GRAN238UR,"Unemployment Rate in Grand Forks, ND-MN (MSA)"
54,MINN427BP1FH,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
55,MINN427BPPRIVSA,"New Private Housing Units Authorized by Building Permits for Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
59,MNBP1FH,New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Minnesota
61,S1701ACS027053,"Percent of Population Below the Poverty Level in Hennepin County, MN"
62,CBR27053MNA647NCEN,"SNAP Benefits Recipients in Hennepin County, MN"
63,MNSHER1URN,"Unemployment Rate in Sherburne County, MN"
65,NGMP22020,"Total Gross Domestic Product for Fargo, ND-MN (MSA)"
66,PCRGMP33460,"Total Per Capita Real Gross Domestic Product for Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
67,CUUSA211SAT1,"Consumer Price Index for All Urban Consumers: Private transportation in Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)"
68,MNSTEA5URN,"Unemployment Rate in Stearns County, MN"
69,MNOTOT,Total Personal Income in Minnesota
71,B01002001E027013,"Median Age of the Population in Blue Earth County, MN"
72,CDC20N2UAA027053,"Age-Adjusted Premature Death Rate for Hennepin County, MN"
73,MNRAMS3URN,"Unemployment Rate in Ramsey County, MN"
74,MNWRIG0URN,"Unemployment Rate in Wright County, MN"
75,MNWASH5URN,"Unemployment Rate in Washington County, MN"
76,B01002001E027019,"Median Age of the Population in Carver County, MN"
77,B03002003E027019,"Population Estimate of Non-Hispanic White Persons in Carver County, MN"
78,PPAAMN27053A156NCEN,"Estimated Percent of People of All Ages in Poverty for Hennepin County, MN"
79,PUAAMN27053A647NCEN,"Poverty Universe, All Ages for Hennepin County, MN"
80,NETMIGNACS027053,"Net Migration Flow for Hennepin County, MN"
81,2020RATIO027053,"Income Inequality in Hennepin County, MN"
82,PCPI27053,"Per Capita Personal Income in Hennepin County, MN"
83,MNCARV9POP,"Resident Population in Carver County, MN"
84,S1701ACS027003,"Percent of Population Below the Poverty Level in Anoka County, MN"
85,CBR27037MNA647NCEN,"SNAP Benefits Recipients in Dakota County, MN"
86,ATNHPIUS27123A,"All-Transactions House Price Index for Ramsey County, MN"
90,NGMP40340,"Total Gross Domestic Product for Rochester, MN (MSA)"
91,NGMP20260,"Total Gross Domestic Product for Duluth, MN-WI (MSA)"
92,RPIPC33460,"Real Per Capita Personal Income for Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
93,M0419BUS33460M053NNBR,"Wholesale Price of Wheat Flour for Minneapolis, MN"
94,CUUSA211SAH,"Consumer Price Index for All Urban Consumers: Housing in Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)"
95,MINN427LFN,"Civilian Labor Force in Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
97,NGMP40380,"Total Gross Domestic Product for Rochester, NY (MSA)"
98,MNOLMS9URN,"Unemployment Rate in Olmsted County, MN"
99,CBR27145MNA647NCEN,"SNAP Benefits Recipients in Stearns County, MN"
100,MNMFG,All Employees: Manufacturing in Minnesota
101,MEHOINUSMNA646N,Median Household Income in Minnesota
102,MNICLAIMS,Initial Claims in Minnesota
106,CBR27137MNA647NCEN,"SNAP Benefits Recipients in St. Louis County, MN"
107,PCPI27137,"Per Capita Personal Income in St. Louis County, MN"
108,B03002003E027013,"Population Estimate of Non-Hispanic White Persons in Blue Earth County, MN"
109,MNSTLO7POP,"Resident Population in St. Louis County, MN"
110,B14005DCYACS027053,"Disconnected Youth for Hennepin County, MN"
111,MNSCOT9URN,"Unemployment Rate in Scott County, MN"
112,MNCHIS5URN,"Unemployment Rate in Chisago County, MN"
114,PCPI27123,"Per Capita Personal Income in Ramsey County, MN"
115,HOWNRATEACS027123,"Homeownership Rate for Ramsey County, MN"
116,S1701ACS027171,"Percent of Population Below the Poverty Level in Wright County, MN"
117,PCPI27037,"Per Capita Personal Income in Dakota County, MN"
118,HOWNRATEACS027053,"Homeownership Rate for Hennepin County, MN"
119,MNHENN3POP,"Resident Population in Hennepin County, MN"
120,2020RATIO027123,"Income Inequality in Ramsey County, MN"
121,MHIMN27163A052NCEN,"Estimate of Median Household Income for Washington County, MN"
122,MNCARV9URN,"Unemployment Rate in Carver County, MN"
124,MWACL27053,"Mean Real Wages Adjusted by Cost of Living for Hennepin County, MN"
125,ATNHPIUS27171A,"All-Transactions House Price Index for Wright County, MN"
126,CBR27123MNA647NCEN,"SNAP Benefits Recipients in Ramsey County, MN"
127,2020RATIO027019,"Income Inequality in Carver County, MN"
128,B080ACS027019,"Mean Commuting Time for Workers in Carver County, MN"
129,B03002006E027019,"Population Estimate of Non-Hispanic Asian Persons in Carver County, MN"
130,B03002012E027019,"Population Estimate of Hispanic or Latino Persons in Carver County, MN"
131,B03002004E027019,"Population Estimate of Non-Hispanic Black or African-American Persons in Carver County, MN"
132,B03002005E027019,"Population Estimate of Non-Hispanic American Indian or Native Alaskan Persons in Carver County, MN"
133,EQFXSUBPRIME027019,"Equifax Subprime Credit Population for Carver County, MN"
134,MNSCOT9POP,"Resident Population in Scott County, MN"
135,ATNHPIUS27141A,"All-Transactions House Price Index for Sherburne County, MN"
136,B01002001E027053,"Median Age of the Population in Hennepin County, MN"
137,HOWNRATEACS027025,"Homeownership Rate for Chisago County, MN"
138,B01002001E027025,"Median Age of the Population in Chisago County, MN"
139,HC01ESTVC1727053,"Bachelor's Degree or Higher (5-year estimate) in Hennepin County, MN"
140,B03002004E027025,"Population Estimate of Non-Hispanic Black or African-American Persons in Chisago County, MN"
141,B080ACS027025,"Mean Commuting Time for Workers in Chisago County, MN"
142,EQFXSUBPRIME027025,"Equifax Subprime Credit Population for Chisago County, MN"
143,HOWNRATEACS027019,"Homeownership Rate for Carver County, MN"
144,EQFXSUBPRIME027053,"Equifax Subprime Credit Population for Hennepin County, MN"
145,MHIMN27037A052NCEN,"Estimate of Median Household Income for Dakota County, MN"
146,CDC20N2U027053,"Premature Death Rate for Hennepin County, MN"
147,CBR27171MNA647NCEN,"SNAP Benefits Recipients in Wright County, MN"
148,ATNHPIUS27003A,"All-Transactions House Price Index for Anoka County, MN"
149,DP04ACS027123,"Burdened Households in Ramsey County, MN"
