DATE,MNYELL3URN,CBR27173MNA647NCEN,MNYELL3LFN,EQFXSUBPRIME027173,MNYELL3POP,PEU18MN27173A647NCEN,ATNHPIUS27173A,PPU18MN27173A156NCEN,NETMIGNACS027173,MHIMN27173A052NCEN,RACEDISPARITY027173,PI27173,2020RATIO027173,B14005DCYACS027173,DP04ACS027173,HOWNRATEACS027173,CDC20N2U027173,PCPI27173,PUA0T17MN27173A647NCEN,PUAAMN27173A647NCEN,B01002001E027173,B080ACS027173,CDC20N2UAA027173,PUA5T17RMN27173A647NCEN,DMPCRATE027173,PEAAMN27173A647NCEN,HC01ESTVC1727173,S1701ACS027173,HC01ESTVC1627173,B03002003E027173,B03002006E027173,B03002012E027173,ENU2717320510,PPAAMN27173A156NCEN,PE5T17MN27173A647NCEN,BPPRIV027173,B03002004E027173,FBITC027173,PP5T17MN27173A156NCEN,MHICILBMN27173A052NCEN,MHICIUBMN27173A052NCEN,B03002005E027173,PECILBU18MN27173A647NCEN,PECIUBU18MN27173A647NCEN,PECILBAAMN27173A647NCEN,PECIUBAAMN27173A647NCEN,S1101SPHOUSE027173,PPCILBU18MN27173A156NCEN,PPCIUBU18MN27173A156NCEN,PPCILBAAMN27173A156NCEN,PPCIUBAAMN27173A156NCEN,S1501ACSTOTAL027173,PECILB5T17MN27173A647NCEN,PECIUB5T17MN27173A647NCEN,PPCILB5T17MN27173A156NCEN,PPCIUB5T17MN27173A156NCEN,county
1991-01-01,7.4,,5278,,11.609000000000002,,,,,,,178660.0,,,,,,15390.0,,,,,,,,,,,,,,,317.0,,,7.0,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1991-02-01,7.3,,5262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1991-03-01,7.3,,5282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1991-04-01,5.3,,5468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1991-05-01,3.4,,5508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1991-06-01,4.2,,5650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1991-07-01,3.7,,5480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1991-08-01,3.3,,5296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1991-09-01,3.3,,5270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1991-10-01,3.0,,5429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1991-11-01,4.0,,5338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1991-12-01,6.0,,5242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1992-01-01,8.4,,5121,,11.597000000000001,,,,,,,183553.0,,,,,,15828.0,,,,,,,,,,,,,,,301.0,,,12.0,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1992-02-01,7.6,,5050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1992-03-01,7.6,,5170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1992-04-01,5.3,,5524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1992-05-01,4.5,,5602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1992-06-01,5.1,,5818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1992-07-01,4.4,,5650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1992-08-01,4.5,,5609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1992-09-01,4.2,,5642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1992-10-01,3.2,,5629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1992-11-01,4.5,,5609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1992-12-01,6.6,,5445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1993-01-01,8.1,801.0,5741,,11.610999999999999,525.0,,16.2,,26945.0,,164590.0,,,,,,14175.0,,,,,,,,1516.0,,,,,,,302.0,12.9,349.0,23.0,,,14.0,24665.0,29213.0,,407.0,643.0,1196.0,1836.0,,12.5,19.8,10.2,15.7,,263.0,436.0,10.5,17.5,YELLOW MEDICINE
1993-02-01,7.8,,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1993-03-01,7.0,,5860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1993-04-01,5.6,,5864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1993-05-01,4.5,,5976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1993-06-01,4.1,,6180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1993-07-01,3.7,,6040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1993-08-01,3.7,,5815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1993-09-01,3.8,,5879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1993-10-01,3.2,,5880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1993-11-01,3.1,,5854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1993-12-01,6.3,,5864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1994-01-01,9.3,,5430,,11.602,,,,,,,209131.0,,,,,,18025.0,,,,,,,,,,,,,,,309.0,,,21.0,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1994-02-01,8.5,,5359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1994-03-01,8.1,,5352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1994-04-01,6.0,,5298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1994-05-01,4.3,,5413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1994-06-01,4.4,,5554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1994-07-01,3.9,,5339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1994-08-01,4.0,,5581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1994-09-01,3.5,,5561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1994-10-01,3.3,,5536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1994-11-01,3.6,,5614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1994-12-01,6.4,,5352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1995-01-01,8.6,504.0,5422,,11.546,390.0,,12.4,,29845.0,,199905.0,,,,,,17314.0,,,,,,,,1143.0,,,,,,,306.0,9.9,270.0,23.0,,,11.1,26717.0,32957.0,,296.0,483.0,883.0,1403.0,,9.4,15.3,7.6,12.1,,202.0,338.0,8.4,13.9,YELLOW MEDICINE
1995-02-01,7.3,,5336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1995-03-01,6.5,,5430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1995-04-01,6.2,,5623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
