DATE,MNOTTE5URN,MNOTTE5POP,B01002001E027111,B03002003E027111,CBR27111MNA647NCEN,MHIMN27111A052NCEN,PECILBU18MN27111A647NCEN,S1701ACS027111,NETMIGNACS027111,ATNHPIUS27111A,PEU18MN27111A647NCEN,PEAAMN27111A647NCEN,PUA5T17RMN27111A647NCEN,PI27111,B14005DCYACS027111,ENU2711120510,MNOTTE5LFN,FBITC027111,BPPRIV027111,PCPI27111,RACEDISPARITY027111,PPU18MN27111A156NCEN,2020RATIO027111,DP04ACS027111,HOWNRATEACS027111,CDC20N2U027111,USPTOISSUED027111,PUA0T17MN27111A647NCEN,PUAAMN27111A647NCEN,B080ACS027111,CDC20N2UAA027111,EQFXSUBPRIME027111,DMPCRATE027111,HC01ESTVC1727111,HC01ESTVC1627111,B03002006E027111,B03002012E027111,PPAAMN27111A156NCEN,PE5T17MN27111A647NCEN,B03002004E027111,PP5T17MN27111A156NCEN,MHICILBMN27111A052NCEN,MHICIUBMN27111A052NCEN,B03002005E027111,PECIUBU18MN27111A647NCEN,PECILBAAMN27111A647NCEN,PECIUBAAMN27111A647NCEN,S1101SPHOUSE027111,PPCILBU18MN27111A156NCEN,PPCIUBU18MN27111A156NCEN,PPCILBAAMN27111A156NCEN,PPCIUBAAMN27111A156NCEN,S1501ACSTOTAL027111,PECILB5T17MN27111A647NCEN,PECIUB5T17MN27111A647NCEN,PPCILB5T17MN27111A156NCEN,PPCIUB5T17MN27111A156NCEN,county
1991-01-01,9.3,51.281000000000006,,,,,,,,65.31,,,,779953.0,,1231.0,24156,,87.0,15209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1991-02-01,11.3,,,,,,,,,,,,,,,,24041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1991-03-01,9.1,,,,,,,,,,,,,,,,23894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1991-04-01,7.4,,,,,,,,,,,,,,,1248.0,24819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1991-05-01,5.7,,,,,,,,,,,,,,,,25204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1991-06-01,5.3,,,,,,,,,,,,,,,,25640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1991-07-01,4.7,,,,,,,,,,,,,,,1268.0,25314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1991-08-01,4.5,,,,,,,,,,,,,,,,24805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1991-09-01,4.4,,,,,,,,,,,,,,,,24703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1991-10-01,3.7,,,,,,,,,,,,,,,1278.0,24764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1991-11-01,5.6,,,,,,,,,,,,,,,,24712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1991-12-01,7.0,,,,,,,,,,,,,,,,24453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1992-01-01,10.5,51.776,,,,,,,,68.21,,,,851556.0,,1268.0,24645,,80.0,16447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1992-02-01,9.2,,,,,,,,,,,,,,,,24223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1992-03-01,8.9,,,,,,,,,,,,,,,,24341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1992-04-01,7.1,,,,,,,,,,,,,,,1268.0,24962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1992-05-01,5.9,,,,,,,,,,,,,,,,25521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1992-06-01,6.4,,,,,,,,,,,,,,,,26089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1992-07-01,5.5,,,,,,,,,,,,,,,1274.0,25848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1992-08-01,5.1,,,,,,,,,,,,,,,,25383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
