DATE,MNCASS1URN,EQFXSUBPRIME038017,MNCASS1POP,NDCASS7URN,B080ACS027021,2020RATIO027021,B01002001E027021,B03002003E027021,B03002006E027021,B03002012E027021,B03002005E027021,EQFXSUBPRIME027021,ATNHPIUS27021A,CDC20N2U027021,ENU2702120510,BPPRIV027021,PUAAMN27021A647NCEN,PI27021,PCPI27021,HC01ESTVC1727021,HOWNRATEACS027021,S1101SPHOUSE027021,DMPCRATE027021,FBITC027021,RACEDISPARITY027021,B03002004E027021,CBR27021MNA647NCEN,NETMIGNACS038017,PUAAND38017A647NCEN,USPTOISSUED038017,2020RATIO038017,PUA0T17ND38017A647NCEN,MHICILBND38017A052NCEN,B01002001E038017,B03002012E038017,MHIND38017A052NCEN,CDC20N2U038017,S1701ACS038017,PI38017,PEAAND38017A647NCEN,S1101SPHOUSE038017,NDCASS7POP,DMPCRATE038017,PCPI38017,RACEDISPARITY038017,FBITC038017,HOWNRATEACS038017,NDCASS7LFN,ENU3801720510,ATNHPIUS38017A,B080ACS038017,BPPRIV038017,B14005DCYACS038017,B03002004E038017,CBR38017NDA647NCEN,HC01ESTVC1738017,S1501ACSTOTAL038017,HC01ESTVC1638017,B14005DCYACS027021,DP04ACS027021,MNCASS1LFN,USPTOISSUED027021,CDC20N2UAA027021,MHIMN27021A052NCEN,S1701ACS027021,HC01ESTVC1627021,MHICILBMN27021A052NCEN,MHICIUBMN27021A052NCEN,PUA0T17MN27021A647NCEN,PUA5T17RMN27021A647NCEN,NETMIGNACS027021,PEAAMN27021A647NCEN,PPAAMN27021A156NCEN,PECILBAAMN27021A647NCEN,PECIUBAAMN27021A647NCEN,PPCILBAAMN27021A156NCEN,PPCIUBAAMN27021A156NCEN,S1501ACSTOTAL027021,PE5T17MN27021A647NCEN,PP5T17MN27021A156NCEN,PECILB5T17MN27021A647NCEN,PECIUB5T17MN27021A647NCEN,PPCILB5T17MN27021A156NCEN,PEU18MN27021A647NCEN,PPU18MN27021A156NCEN,PECILBU18MN27021A647NCEN,PECIUBU18MN27021A647NCEN,PPCILBU18MN27021A156NCEN,PPCIUB5T17MN27021A156NCEN,PPCIUBU18MN27021A156NCEN,PUA5T17RND38017A647NCEN,MHICIUBND38017A052NCEN,DP04ACS038017,PPAAND38017A156NCEN,PECILBAAND38017A647NCEN,PECIUBAAND38017A647NCEN,PPCILBAAND38017A156NCEN,CDC20N2UAA038017,PPCIUBAAND38017A156NCEN,MWACL38017,PE5T17ND38017A647NCEN,PP5T17ND38017A156NCEN,PECILB5T17ND38017A647NCEN,PECIUB5T17ND38017A647NCEN,PPCILB5T17ND38017A156NCEN,PPCIUB5T17ND38017A156NCEN,PPU18ND38017A156NCEN,PECILBU18ND38017A647NCEN,PECIUBU18ND38017A647NCEN,PPCILBU18ND38017A156NCEN,PPCIUBU18ND38017A156NCEN,B03002005E038017,B03002003E038017,B03002006E038017,PEU18ND38017A647NCEN,county
1991-01-01,13.9,,22.128,3.4,,,,,,,,,,,525.0,57.0,,314686.0,14221.0,,,,,,,,,,,,,,,,,,,,1973970.0,,,104.97399999999999,,18804.0,,,,59750,3739.0,74.42,,393.0,,,,,,,,,9021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASS
1991-02-01,13.7,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59958,,,,,,,,,,,,,9046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASS
1991-03-01,13.8,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59648,,,,,,,,,,,,,9211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASS
1991-04-01,10.5,,,4.0,,,,,,,,,,,541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60526,3757.0,,,,,,,,,,,,9334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASS
1991-05-01,8.1,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60775,,,,,,,,,,,,,9701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASS
1991-06-01,8.2,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61394,,,,,,,,,,,,,10105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASS
1991-07-01,7.1,,,2.9,,,,,,,,,,,547.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,61178,3763.0,,,,,,,,,,,,10046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASS
1991-08-01,6.6,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60614,,,,,,,,,,,,,9923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASS
1991-09-01,6.2,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60026,,,,,,,,,,,,,9720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASS
1991-10-01,6.5,,,2.6,,,,,,,,,,,566.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61345,3779.0,,,,,,,,,,,,9484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASS
1991-11-01,9.9,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60680,,,,,,,,,,,,,9432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASS
1991-12-01,10.9,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60236,,,,,,,,,,,,,9353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASS
1992-01-01,13.8,,22.776999999999997,3.8,,,,,,,,,,,566.0,54.0,,351275.0,15422.0,,,,,,,,,,,,,,,,,,,,2143403.0,,,107.24799999999999,,19985.0,,,,60516,3802.0,76.33,,517.0,,,,,,,,,9451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASS
1992-02-01,13.6,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60874,,,,,,,,,,,,,9330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASS
1992-03-01,13.2,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60702,,,,,,,,,,,,,9508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASS
