"YEAR","SERIAL","MONTH","HWTFINL","CPSID","ASECFLAG","ASECWTH","STATEFIP","COUNTY","PERNUM","WTFINL","CPSIDP","ASECWT","VOWHYNOT","VOYNOTREG","VOTEHOW","VOTEWHEN","VOREGHOW","VOTERES","VOTERESP","VOTED","VOREG","VOSUPPWT"
2010,5522,1,1437.1929,20081003485700,,,27,27003,1,1437.1929,20081003485701,,,,,,,,,,,
2010,5522,1,1437.1929,20081003485700,,,27,27003,2,1514.5245,20081003485702,,,,,,,,,,,
2010,5522,1,1437.1929,20081003485700,,,27,27003,3,1828.9299,20081003485704,,,,,,,,,,,
2010,5523,1,1328.1942,20091003452000,,,27,27003,1,1328.1942,20091003452001,,,,,,,,,,,
2010,5524,1,1498.7906,20091205273200,,,27,0,1,1519.2896,20091205273201,,,,,,,,,,,
2010,5524,1,1498.7906,20091205273200,,,27,0,2,1498.7906,20091205273202,,,,,,,,,,,
2010,5524,1,1498.7906,20091205273200,,,27,0,3,1737.8295,20091205273203,,,,,,,,,,,
2010,5524,1,1498.7906,20091205273200,,,27,0,4,1409.7754,20091205273204,,,,,,,,,,,
2010,5525,1,1587.5495,20081101938700,,,27,0,1,1664.4412,20081101938701,,,,,,,,,,,
2010,5525,1,1587.5495,20081101938700,,,27,0,2,1587.5495,20081101938702,,,,,,,,,,,
2010,5526,1,1353.4114,20091005878300,,,27,0,1,1553.8134,20091005878301,,,,,,,,,,,
2010,5526,1,1353.4114,20091005878300,,,27,0,2,1353.4114,20091005878302,,,,,,,,,,,
2010,5526,1,1353.4114,20091005878300,,,27,0,3,1830.5109,20091005878303,,,,,,,,,,,
2010,5526,1,1353.4114,20091005878300,,,27,0,4,1651.6105,20091005878304,,,,,,,,,,,
2010,5526,1,1353.4114,20091005878300,,,27,0,5,1720.8262,20091005878305,,,,,,,,,,,
2010,5527,1,1714.1962,20091203614100,,,27,27037,1,1714.1962,20091203614101,,,,,,,,,,,
2010,5527,1,1714.1962,20091203614100,,,27,27037,2,1576.107,20091203614102,,,,,,,,,,,
2010,5528,1,1214.32,20091006661900,,,27,27037,1,1214.32,20091006661901,,,,,,,,,,,
2010,5528,1,1214.32,20091006661900,,,27,27037,2,1328.1942,20091006661902,,,,,,,,,,,
2010,5529,1,1720.5334,20091205636800,,,27,0,1,1720.5334,20091205636801,,,,,,,,,,,
2010,5530,1,1602.3658,20091205275200,,,27,0,1,1602.3658,20091205275201,,,,,,,,,,,
